# Action spectra of TEMIS UV v2.0 data products
# ---------------------------------------------
#
# Implemented in TEMIS UV v2.0 processing:
#   Erythemal  = CIE-98, cf. Webb, A.R. et al. (2011)
#   Vitamin-D  = CIE-174, cf. Bouillon, R. et al. (2006)
#   DNA-damage = Setlow, R.B. (1974)
#                Bernhard, G. and Seckmeyer, G. (1997)
#
# For more information, see
# http://www.temis.nl/uvradiation/product/action.html
#
#
# Action spectrum data at 0.1 nm interval, produced from
# the implementation by Marc Allaart (KNMI, April 2017).
#
#
#
,wavelength,Erythemal,DNA-damage,Vitamin-D
471,297.1,1.0,2.14097,0.9964
472,297.2,1.0,2.09028,0.9968
473,297.3,1.0,2.04046,0.9972
474,297.4,1.0,1.99152,0.9976
475,297.5,1.0,1.94341,0.998
476,297.6,1.0,1.89616,0.9984
477,297.7,1.0,1.84976,0.9988
478,297.8,1.0,1.80419,0.9992
479,297.9,1.0,1.75947,0.9996
480,298.0,1.0,1.71557,1.0
481,298.1,0.978587,1.67248,0.9977
482,298.2,0.957632,1.63021,0.9954
483,298.3,0.937127,1.58875,0.9931
484,298.4,0.917066,1.5481,0.9908
485,298.5,0.897429,1.50823,0.9885
486,298.6,0.878212,1.46915,0.9862
487,298.7,0.859407,1.43084,0.9839
488,298.8,0.841004,1.39331,0.9816
489,298.9,0.823001,1.35655,0.9793
490,299.0,0.805378,1.32053,0.977
491,299.1,0.788133,1.28526,0.9744
492,299.2,0.771257,1.25072,0.9718
493,299.3,0.754742,1.21692,0.9692
494,299.4,0.738585,1.18385,0.9666
495,299.5,0.72277,1.15147,0.964
496,299.6,0.707293,1.11981,0.9614
497,299.7,0.692148,1.08883,0.9588
498,299.8,0.677327,1.05855,0.9562
499,299.9,0.662828,1.02894,0.9536
500,300.0,0.648634,1.0,0.951
501,300.1,0.634745,0.971714,0.9476
502,300.2,0.621153,0.944077,0.9442
503,300.3,0.607853,0.91708,0.940799
504,300.4,0.594841,0.890722,0.9374
505,300.5,0.582103,0.864975,0.934
506,300.6,0.569639,0.839841,0.9306
507,300.7,0.557441,0.815309,0.9272
508,300.8,0.545504,0.791368,0.923799
509,300.9,0.533827,0.768018,0.9204
510,301.0,0.522396,0.745234,0.917
511,301.1,0.51121,0.723014,0.9131
512,301.2,0.500264,0.701348,0.9092
513,301.3,0.489551,0.680227,0.905299
514,301.4,0.479072,0.659647,0.9014
515,301.5,0.468813,0.639586,0.8975
516,301.6,0.458775,0.620042,0.8936
517,301.7,0.448951,0.601004,0.8897
518,301.8,0.439338,0.582464,0.885799
519,301.9,0.429933,0.564417,0.8819
520,302.0,0.420727,0.546843,0.878
521,302.1,0.411718,0.529739,0.867299
522,302.2,0.402901,0.513094,0.856599
523,302.3,0.394274,0.4969,0.845898
524,302.4,0.385834,0.481153,0.835201
525,302.5,0.377572,0.465833,0.8245
526,302.6,0.369487,0.450938,0.813799
527,302.7,0.361575,0.436457,0.803099
528,302.8,0.353833,0.422382,0.792398
529,302.9,0.346259,0.408708,0.781701
530,303.0,0.338844,0.395419,0.771
531,303.1,0.331589,0.38251,0.764
532,303.2,0.324488,0.369972,0.756999
533,303.3,0.31754,0.357797,0.749999
534,303.4,0.310742,0.345981,0.743
535,303.5,0.304089,0.334507,0.736
536,303.6,0.297577,0.323372,0.729
537,303.7,0.291205,0.312567,0.721999
538,303.8,0.284969,0.302085,0.714999
539,303.9,0.278869,0.291921,0.708
540,304.0,0.272898,0.28206,0.701
541,304.1,0.267054,0.2725,0.6943
542,304.2,0.261336,0.263231,0.687599
543,304.3,0.25574,0.254247,0.680899
544,304.4,0.250265,0.245543,0.6742
545,304.5,0.244906,0.237107,0.6675
546,304.6,0.239662,0.228935,0.6608
547,304.7,0.23453,0.221019,0.654099
548,304.8,0.229508,0.213352,0.647399
549,304.9,0.224595,0.205931,0.6407
550,305.0,0.219786,0.198745,0.634
551,305.1,0.21508,0.191789,0.6272
552,305.2,0.210474,0.185056,0.620399
553,305.3,0.205967,0.178542,0.613599
554,305.4,0.201558,0.172241,0.6068
555,305.5,0.197242,0.166144,0.6
556,305.6,0.193019,0.160247,0.5932
557,305.7,0.188886,0.154545,0.586399
558,305.8,0.184841,0.149032,0.579599
559,305.9,0.180884,0.143703,0.5728
560,306.0,0.177011,0.138551,0.566
561,306.1,0.173221,0.133572,0.5582
562,306.2,0.169511,0.12876,0.550399
563,306.3,0.165882,0.124111,0.542599
564,306.4,0.162331,0.119622,0.5348
565,306.5,0.158855,0.115284,0.527
566,306.6,0.155453,0.111095,0.5192
567,306.7,0.152124,0.10705,0.511399
568,306.8,0.148867,0.103144,0.503599
569,306.9,0.14568,0.0993749,0.4958
570,307.0,0.142561,0.0957355,0.488
571,307.1,0.139508,0.0922231,0.478699
572,307.2,0.136521,0.0888337,0.469399
573,307.3,0.133597,0.0855634,0.460098
574,307.4,0.130738,0.0824093,0.450801
575,307.5,0.127938,0.0793657,0.4415
576,307.6,0.125199,0.0764303,0.432199
577,307.7,0.122518,0.0735992,0.422899
578,307.8,0.119894,0.0708693,0.413598
579,307.9,0.117328,0.0682379,0.404301
580,308.0,0.114815,0.0657003,0.395
581,308.1,0.112357,0.063254,0.386099
582,308.2,0.109951,0.0608962,0.377199
583,308.3,0.107597,0.0586238,0.368298
584,308.4,0.105293,0.0564345,0.359401
585,308.5,0.103039,0.0543244,0.3505
586,308.6,0.100832,0.0522913,0.341599
587,308.7,0.0986731,0.0503327,0.332699
588,308.8,0.0965602,0.0484459,0.323798
589,308.9,0.0944932,0.0466291,0.314901
590,309.0,0.0924698,0.0448787,0.306
591,309.1,0.0904898,0.043193,0.297399
592,309.2,0.0885521,0.0415698,0.288799
593,309.3,0.0866559,0.0400068,0.280198
594,309.4,0.0848009,0.0385024,0.271601
595,309.5,0.0829851,0.0370535,0.263
596,309.6,0.0812081,0.0356588,0.254399
597,309.7,0.0794692,0.0343163,0.245799
598,309.8,0.0777675,0.0330241,0.237198
599,309.9,0.0761028,0.0317807,0.228601
600,310.0,0.0744732,0.0305838,0.22
601,310.1,0.0728785,0.0294319,0.2136
602,310.2,0.071318,0.0283234,0.207199
603,310.3,0.0697908,0.0272569,0.200799
604,310.4,0.0682968,0.026231,0.1944
605,310.5,0.0668344,0.0252436,0.188
606,310.6,0.0654033,0.0242937,0.1816
607,310.7,0.0640028,0.0233799,0.175199
608,310.8,0.0626323,0.0225009,0.168799
609,310.9,0.0612915,0.0216555,0.1624
610,311.0,0.0599791,0.0208421,0.156
611,311.1,0.0586948,0.0200597,0.1523
612,311.2,0.0574379,0.0193072,0.1486
613,311.3,0.056208,0.0185835,0.144899
614,311.4,0.0550048,0.0178876,0.1412
615,311.5,0.053827,0.0172182,0.1375
616,311.6,0.0526744,0.0165744,0.1338
617,311.7,0.0515465,0.0159552,0.1301
618,311.8,0.0504427,0.0153598,0.126399
619,311.9,0.0493629,0.0147874,0.1227
620,312.0,0.0483059,0.0142369,0.119
621,312.1,0.0472715,0.0137074,0.1154
